"","lon","lat","pH","EC","GWC","per_clay","per_sand","per_silt","Al","As","B","Ca","Cd","Co","Cr","Cu","Fe","K","Mg","Mn","Mo","Na","Ni","P","S","Ti","Zn","per_som","PerN","PerC","CNRatio","Ele"
"WS-10-4",-94.23412707,36.06649852,5.02,60.2,0.369105646,4.464775,14.5,81.035225,59.6,0.015,5.19,145,0.004,0.073,0.021,0.022,50.8,4.45,7.58,4.83,0,12.1,0.091,0.563,1.03,0.053,0.143,2.2725,0.155273065,1.729870319,11.14082718,375.04
"WS-10-5",-94.23410024,36.06656346,4.9,59.5,0.38645299,4.73225,14.25,81.01775,60.1,0.018,5.15,131,0.004,0.052,0.022,0.027,53.9,4.51,8.49,4.34,0.002,12.2,0.091,0.606,0.993,0.059,0.171,2.315,0.168873087,1.867172241,11.0566597,375.034
"WS-11-1",-94.23460066,36.06654977,5.61,87.8,0.246361209,7.6539,18.125,74.2211,49.8,0,4.71,166,0.006,0.025,0.014,0.099,31.6,4.25,6.5,1.69,0.001,11.4,0.075,0.727,0.966,0.037,0.159,3.48,0.208566368,2.548086643,12.21715069,375.121
"WS-11-2",-94.23464782,36.06650989,5.81,127.3,0.191635884,8.27115,24,67.72885,43.6,0.008,4.72,182,0.005,0.037,0.011,0.117,30.3,5.85,7.41,1.79,0,10.2,0.079,0.749,1.19,0.035,0.193,4.1225,0.24390541,2.904885769,11.90988636,375.17
"WS-11-3",-94.23454463,36.06648213,6.33,135.3,0.29259572,9.91715,25.125,64.95785,47.1,0.007,4.95,182,0.006,0.02,0.016,0.095,33.5,3.78,3.18,2.63,0.001,9.32,0.065,0.74,1.1,0.033,0.139,4.1025,0.212332115,2.778095961,13.08372974,375.154
"WS-11-4",-94.23447523,36.06649314,5.82,67.5,0.346865462,9.9583,25.875,64.1667,60.9,0.003,4.72,115,0.004,0.02,0.014,0.075,32.1,4.06,1.34,2.11,0.001,8.47,0.074,0.845,1.1,0.033,0.121,4.11,0.18907851,2.341469765,12.38358498,375.187
"WS-11-5",-94.2343825,36.06645895,5.59,78.2,0.353354219,8.18885,19,72.81115,50.4,0,4.4,153,0.003,0.028,0.011,0.107,32.9,5.63,6.45,2.05,0.001,12.3,0.073,0.738,1.02,0.038,0.226,3.39,0.221551999,2.399852037,10.83200359,375.189
"WS-1-1",-94.23410343,36.06571648,6.03,103.5,0.258445913,13.168,17.125,69.707,39.8,0.009,4.56,210,0.006,0.023,0.011,0.154,32.4,6.07,10.5,3.36,0.001,12.4,0.114,0.767,1.18,0.036,0.297,4.1975,0.254517525,3.129803658,12.29700661,375.133
"WS-12-2",-94.23438344,36.0666469,5.8,110.6,0.328819024,13.04455,28.625,58.33045,55.4,0,4.89,115,0.003,0.02,0.009,0.081,27.3,5.4,2.93,3.65,0.001,8.16,0.068,1.32,1.18,0.035,0.284,3.97,0.214656606,2.527783632,11.77594185,375.166
"WS-12-3",-94.23432819,36.066618,5.92,82.1,0.255127449,13.37375,25.625,61.00125,54.4,0.002,4.97,129,0.005,0.008,0.009,0.092,16.2,5.26,3.98,1.67,0.001,6.43,0.067,3.1,1.17,0.03,0.174,3.89,0.228564009,2.503315926,10.95236301,375.50098
"WS-12-4",-94.23426812,36.06665327,5.96,62.4,0.253106918,14.011575,24.375,61.613425,56.4,0,4.99,115,0.005,0.008,0.009,0.082,18.3,6.12,5.71,1.7,0.001,6.14,0.069,2.12,0.897,0.03,0.153,3.3025,0.198291093,2.139113665,10.78774452,375.3015
"WS-1-2",-94.23405722,36.06576949,6.22,148.4,0.313287329,11.1105,17.375,71.5145,29.1,0.006,4.03,186,0.007,0.032,0.008,0.178,26.3,5.62,9.03,3.03,0.001,11.9,0.119,0.532,0.809,0.043,0.321,3.655,0.201482594,2.428697824,12.05413246,375.141
